eid,aid,mainshock,mag,lon,lat,depth
191,89,smf_E3,4.92262845123,-123.10504363,47.4436126938,12.0957332665
192,90,smf_E3,5.89418409412,-123.237137113,47.3223200523,10.3782613631
193,91,smf_E3,5.13738477861,-122.991774836,47.4962586182,5.91408703226
194,92,smf_E3,5.59065230388,-123.273774587,47.6193452094,10.6673386216
195,93,smf_E3,4.81274125056,-123.156618,47.4182461603,5.16419801983
196,94,smf_E3,4.97715028821,-123.359187842,47.4897306326,5.58030482238
197,95,smf_E3,5.12889098567,-123.246135017,47.3444237277,10.6546645269
198,96,smf_E3,4.5055867477,-123.25584606,47.3475105753,8.8861037115
199,97,smf_E3,5.35612677304,-123.313956647,47.4463359687,18.8087092138
200,98,smf_E3,4.61463445544,-123.091675998,47.568982046,10.0112928861
201,99,smf_E3,5.70943073815,-123.13498163,47.7041900653,16.1257299532
202,100,smf_E3,5.73843370636,-123.267837698,47.6181023304,12.4839604219
203,101,smf_E3,4.87913619647,-123.145052002,47.6475930959,15.2653706983
204,102,smf_E3,4.93327492886,-123.314654546,47.4798225925,8.16185572825
205,103,smf_E3,4.71901258891,-123.256412462,47.4626408571,19.0704795654
206,104,smf_E3,5.47040446477,-123.002611109,47.5850991938,12.4814159506
207,105,smf_E3,4.78397032559,-123.440790559,47.5109214887,17.3011851406
208,0,smf_E1,7.111979671430371,-123.457639911,47.43053959,10.1255534104
209,1,smf_E1,5.04811919649,-123.50896846,47.2674764745,13.029458686
210,2,smf_E1,4.6439617786,-123.155573604,47.4115105612,17.6956137663
211,3,smf_E1,4.65133307322,-123.074468693,47.5620157502,18.312928046
212,4,smf_E1,4.97796736149,-123.441457469,47.5634150544,14.3797357191
213,5,smf_E1,4.52616147077,-123.710857038,47.431504205,15.6062599385
214,6,smf_E1,4.93927246919,-123.608665034,47.3688878704,12.7875215982
215,7,smf_E1,4.90615755669,-123.341475417,47.5014392477,10.1508597291
216,8,smf_E1,4.51092320463,-123.472024552,47.2574953925,14.3698867683
217,9,smf_E1,4.75168772281,-123.73486583,47.2223408777,18.5326179758
218,10,smf_E1,5.5082145258,-122.852752821,47.5442215857,10.6668860869
219,11,smf_E1,4.6890247628,-123.45592862,47.5104175562,9.03056042198
220,12,smf_E1,5.07967774644,-123.667419364,47.2329412714,10.2149910168
221,13,smf_E1,4.52410750799,-123.583556296,47.4862397989,10.9663620834
222,14,smf_E1,5.65011013298,-123.655955924,47.389982365,5.17697646364
223,15,smf_E1,4.88478304586,-123.420680164,47.3628956672,11.975069447
224,16,smf_E1,4.69066575455,-123.963375394,47.1061997229,11.9090279688
225,17,smf_E1,4.59555886893,-123.036130632,47.6515432652,13.4151012422
226,18,smf_E1,4.82122674675,-123.526284504,47.5174945392,9.80512048754
227,19,smf_E1,4.57658363738,-123.088434212,47.657102493,13.8097215353
228,20,smf_E1,4.63605325345,-123.063623122,47.5520249686,18.0514609644
229,21,smf_E1,4.71167255246,-123.346598036,47.5062235357,19.2875358479
230,22,smf_E1,4.93769674913,-123.052028762,47.5453633732,13.3377954583
231,23,smf_E1,5.05542051688,-124.056096078,47.3458211691,4.68145526353
232,24,smf_E1,4.77798569861,-123.958170898,47.2901142551,19.5077759563
233,25,smf_E1,4.90973280907,-123.300901075,47.5343249338,15.2937929743
234,26,smf_E1,4.80393147428,-123.596426799,47.3461452347,9.37541837686
235,27,smf_E1,5.02646001219,-123.520937792,47.4406825749,6.35452321542
236,28,smf_E1,4.52113773974,-123.762038946,47.2483890308,6.29469779578
237,29,smf_E1,4.54685209293,-123.504063738,47.268354746,6.68391049823
238,30,smf_E1,4.54158434849,-122.816082007,47.6714910478,4.72916034582
239,31,smf_E1,4.72307184195,-123.826238944,47.3931565787,18.4344670184
240,32,smf_E1,5.48616690037,-123.753824472,47.3420432591,12.6522917252
241,33,smf_E1,4.56691550808,-123.389185531,47.3410474475,15.1993506034
242,34,smf_E1,4.59801953509,-123.943392776,47.332862938,17.2497361483
243,35,smf_E1,4.50564495682,-123.821564866,47.2000899083,16.6646561013
244,36,smf_E1,4.59102707326,-123.431566403,47.3623833649,18.1216899797
245,37,smf_E1,4.63652052097,-123.535396558,47.3334000925,19.4760739604
246,38,smf_E1,4.73263130136,-124.073430498,47.1862774999,11.0251298359
247,39,smf_E1,5.5011784053,-123.245907712,47.5359636362,19.2053674667
248,40,smf_E1,4.87209148848,-123.26236053,47.5119712567,15.5726391735
249,41,smf_E1,4.77882044871,-123.162473407,47.6252994171,5.13069104493
250,42,smf_E1,5.4148415764,-123.823666484,47.2136662259,14.9085299394
251,43,smf_E1,4.81576802498,-123.783111884,47.3764779298,14.9874665537
252,44,smf_E1,5.22500604834,-122.985819096,47.5341878338,18.4937690207
253,45,smf_E1,4.67372688466,-124.049406877,47.2598572634,9.96691411952
254,46,smf_E1,4.87295957411,-123.745131167,47.3575118655,13.3585840043
255,47,smf_E1,4.71958385367,-123.866310411,47.3105365581,4.19500081619
256,48,smf_E1,4.92456193512,-122.995307797,47.6228261978,9.3132038749
257,49,smf_E1,4.5915474611,-123.498941488,47.465380876,4.99589961854
258,50,smf_E1,4.50093583637,-123.595681475,47.2507153873,12.3499675642
259,51,smf_E1,5.94536635898,-123.577182962,47.4848182071,17.0791624081
260,52,smf_E1,4.59464975323,-123.556737225,47.2606166039,7.30308307407
261,53,smf_E1,5.40396134928,-123.726672077,47.2078365886,12.4390567289
262,54,smf_E1,4.62522463738,-123.334788016,47.5079639266,7.26413818417
263,55,smf_E1,4.88283563758,-123.876168825,47.3232768937,5.93101548554
264,56,smf_E1,5.17004923529,-123.017853922,47.4987682224,12.1759486709
265,57,smf_E1,4.90976308548,-123.287046793,47.6240101889,5.2663779352
266,58,smf_E1,5.13157274501,-123.087180203,47.733721085,13.3976740982
267,59,smf_E1,4.64156055162,-123.330056984,47.5191644421,4.50139937083
268,60,smf_E1,5.24226118847,-123.320580296,47.4837344324,5.70743954989
269,61,smf_E1,5.39394770308,-123.836337431,47.3413020244,12.7999597678
270,62,smf_E1,4.56097650169,-123.591082225,47.3188038302,13.4625186064
271,63,smf_E1,4.92829397018,-123.386005457,47.4594069872,4.4637908815
272,64,smf_E1,5.02545644193,-123.706403981,47.4420738516,13.174028608
273,65,smf_E1,4.93266162384,-123.094922889,47.7181985828,17.4160404052
274,66,smf_E1,4.60141996778,-123.195912823,47.6644373348,15.5570588367
275,67,smf_E1,5.24641297233,-123.549167816,47.3169814931,6.09896166273
276,68,smf_E1,4.70839465569,-123.558963015,47.3038828566,13.479594361
277,69,smf_E1,4.50808119957,-123.712232272,47.2566285351,14.7560400012
278,70,smf_E1,5.89380739852,-123.337554615,47.4637637314,4.59569922804
279,71,smf_E1,4.67659615957,-123.662380979,47.2834159962,17.6855626989
280,72,smf_E1,5.08001068995,-123.633891947,47.3144346373,18.5002783566
281,73,smf_E1,4.74426433209,-123.962452477,47.2488869627,17.6072363738
282,74,smf_E1,4.84268590191,-123.203358514,47.6211865254,17.1941034878
283,75,smf_E1,4.64801912251,-123.565104478,47.4576046847,15.9194431754
284,76,smf_E1,5.24460497367,-123.635815937,47.4496743531,14.1349125005
285,77,smf_E1,5.06328374026,-123.974567018,47.064973129,14.8580320798
286,78,smf_E1,4.61001976026,-123.048029386,47.4762689886,16.9023246934
287,79,smf_E1,4.62135959138,-123.543932899,47.4824950197,14.5999753338
288,80,smf_E1,4.54130197623,-123.294690183,47.5113580015,9.24363130691
289,81,smf_E1,4.67374502414,-123.503724027,47.4355502363,10.0153776346
290,82,smf_E1,4.53379867787,-123.080695978,47.4645064756,18.352919494
291,83,smf_E1,5.09852312104,-122.947584059,47.5731231056,4.27395337275
292,84,smf_E1,5.15409829745,-123.568317296,47.426474593,15.1811292999
293,85,smf_E1,4.86583509045,-123.348536795,47.5852696377,19.2764408388
294,86,smf_E1,4.9630030987,-123.196005935,47.6621553234,15.2996507193
295,87,smf_E1,4.61590312498,-123.263545186,47.5143327177,19.9025918117
296,88,smf_E1,4.81001158113,-123.010726483,47.6365603673,15.0007184885
297,89,smf_E1,5.46562677056,-123.979880249,47.3044219456,4.54980846747
298,90,smf_E1,4.89015103104,-123.55651639,47.3998560018,17.2321581064
299,91,smf_E1,4.68674717608,-123.798458141,47.2878992806,8.55407859103
300,92,smf_E1,4.59358973812,-123.450965966,47.5507297936,11.1369156106
301,93,smf_E1,5.16686979908,-123.927292235,47.3156425217,8.99347065451
302,94,smf_E1,5.30074808724,-123.518571175,47.5222309765,8.29686569935
303,95,smf_E1,5.21189281351,-123.48220499,47.3330570269,10.9024912587
304,96,smf_E1,5.12464235729,-123.454125586,47.4399404501,10.0600231751
305,97,smf_E1,5.51090173474,-123.782565875,47.3932645084,14.1334173095
