asset,lon,lat,taxonomy,number,structural,contents,area
53033025602-RM1L-MC,-122.14888,47.47771,RM1L-MC,36.0,10638,5320,67
53033025602-W1-MC,-122.14888,47.47771,W1-MC,1842.2,544706,272374,3430
53003960400-C2L-PC,-117.06731,46.41271,C2L-PC,1.6,726,364,5
53003960400-MH-PC,-117.06731,46.41271,MH-PC,119.2,6239,3126,120
53003960400-RM1L-PC,-117.06731,46.41271,RM1L-PC,9.2,1969,985,17
53003960400-W1-PC,-117.06731,46.41271,W1-PC,406.6,67052,33537,616
53003960400-C2L-LC,-117.06731,46.41271,C2L-LC,1.1,467,234,3
53003960400-MH-LC,-117.06731,46.41271,MH-LC,76.6,4007,2008,77
53003960400-RM1L-LC,-117.06731,46.41271,RM1L-LC,5.9,1265,633,11
53003960400-W1-LC,-117.06731,46.41271,W1-LC,261.2,43070,21542,395
53049950300-C2L-PC,-123.90116,46.65417,C2L-PC,1.0,1049,525,6
53049950300-C3L-PC,-123.90116,46.65417,C3L-PC,0.6,398,199,3
53049950300-MH-PC,-123.90116,46.65417,MH-PC,79.8,4245,2136,80
53049950300-RM1L-PC,-123.90116,46.65417,RM1L-PC,8.4,2140,1071,16
53049950300-W1-PC,-123.90116,46.65417,W1-PC,436.1,70201,35115,640
53049950300-C2L-MC,-123.90116,46.65417,C2L-MC,3.3,3472,1737,19
53049950300-MH-MC,-123.90116,46.65417,MH-MC,264.3,14053,7072,266
53049950300-RM1L-MC,-123.90116,46.65417,RM1L-MC,27.9,7085,3544,54
53049950300-S1L-MC,-123.90116,46.65417,S1L-MC,0.3,427,213,2
53049950300-S3-MC,-123.90116,46.65417,S3-MC,0.6,494,247,3
53049950300-S4L-MC,-123.90116,46.65417,S4L-MC,0.3,405,203,2
53049950300-W1-MC,-123.90116,46.65417,W1-MC,1443.8,232388,116243,2118
53045960800-C2L-PC,-123.09037,47.23362,C2L-PC,1.6,3512,1756,19
53045960800-C3L-PC,-123.09037,47.23362,C3L-PC,0.5,632,316,4
53045960800-MH-PC,-123.09037,47.23362,MH-PC,28.5,2178,1092,32
