GEOID10,INTPTLAT10,INTPTLON10
53061041704,+47.8674032,-122.2252011
53061051927,+47.8354398,-122.2381827
53061041703,+47.8609900,-122.2427968
53061041606,+47.8857346,-122.1969527
53061040900,+47.9601341,-122.2360800
53061041608,+47.8860204,-122.1686508
53061041601,+47.9162101,-122.1933019
53061041806,+47.9016415,-122.2299358
53061041905,+47.9014135,-122.2571911
53061041904,+47.9167720,-122.2388771
53061041701,+47.8899399,-122.2149774
53061041811,+47.8706490,-122.2510080
53061052706,+48.0086872,-122.1211573
53061052707,+48.0261678,-122.1149932
53061051804,+47.8572159,-122.2638423
53061051803,+47.8562368,-122.2815196
53061041812,+47.8750642,-122.2668833
53061053602,+48.0123273,-121.6786912
53061040700,+47.9727623,-122.1967897
53061041903,+47.9153115,-122.2579258
53061052206,+47.9277104,-121.9382259
53061041301,+47.9375653,-122.3042307
53061053505,+48.1098756,-122.0407893
53061053700,+48.2383106,-121.4403473
53061042001,+47.9114849,-122.3146889
53061042003,+47.8677660,-122.3238457
53061050200,+47.8446498,-122.3375715
53061050500,+47.8066452,-122.3782361
53061050600,+47.7881057,-122.3881006
53061050700,+47.7846492,-122.3651016
53061051000,+47.7926729,-122.3232195
53061041400,+47.9417245,-122.2038809
53061041607,+47.8983789,-122.1734933
53061041000,+47.9601840,-122.2135269
53061051913,+47.7999629,-122.2682740
53061051100,+47.7839905,-122.3071192
53061051300,+47.7923720,-122.2912982
53061051400,+47.8129270,-122.3065992
53061051500,+47.8207615,-122.3264263
53061051701,+47.8299717,-122.2999364
53061051601,+47.8448193,-122.3092820
53061052603,+48.0318160,-122.0850872
53061052203,+47.8782187,-121.9800353
53061051905,+47.8160607,-122.2709145
53061051916,+47.7997544,-122.2291906
53061052007,+47.8395035,-122.1993428
53061051917,+47.7839864,-122.2452217
53061052005,+47.8578829,-122.2038669
53061050300,+47.8271431,-122.3568555
53061050401,+47.8147486,-122.3495501
53061050402,+47.8043922,-122.3499125
53061050800,+47.7932148,-122.3507755
53061051914,+47.7843007,-122.2727108
53061052604,+47.9986056,-122.0930361
53061052607,+47.9688262,-122.0745008
53061052903,+48.0531551,-122.1722506
53061053302,+48.2589939,-122.2781367
53061053301,+48.2560314,-122.3660164
53061053201,+48.1945320,-122.3190817
53061050900,+47.7859889,-122.3371350
53061042004,+47.8728900,-122.2857111
53061051702,+47.8312065,-122.2863838
53061051915,+47.8060371,-122.2466566
53061051802,+47.8396160,-122.2735791
53061052004,+47.8686950,-122.2071675
53061051200,+47.7978124,-122.3058174
53061042005,+47.8831550,-122.3140330
53061052006,+47.8494716,-122.1963272
53061040200,+48.0044148,-122.1878860
53061040100,+48.0041499,-122.2197294
53061040300,+47.9941342,-122.2000385
53061040800,+47.9780755,-122.2204000
53061040400,+47.9862417,-122.2162288
53061041202,+47.9282413,-122.2252643
53061041201,+47.9447703,-122.2356220
53061041100,+47.9446593,-122.2205112
