USPS,GEOID,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG
WA,53053073006,119198277,2553032,46.023,0.986,46.8987783,-122.4184454
WA,53053073108,9902122,0,3.823,0,47.0940827,-122.3370511
WA,53053073110,5662560,138804,2.186,0.054,47.1336468,-122.2531477
WA,53053073111,3722814,9776,1.437,0.004,47.1222681,-122.2774266
WA,53053073113,18494403,6944,7.141,0.003,47.0719425,-122.2649319
WA,53053073114,6903398,17931,2.665,0.007,47.038046,-122.3764485
WA,53053073115,6850710,3197,2.645,0.001,47.0394147,-122.3483495
WA,53053073116,16086230,51388,6.211,0.02,47.0222499,-122.3221289
WA,53053073117,49431889,230779,19.086,0.089,46.9682193,-122.3282624
WA,53053073118,30926845,222957,11.941,0.086,47.0450319,-122.2371097
WA,53053073119,95934999,3855896,37.041,1.489,46.9720036,-122.2137899
WA,53053073120,3303456,13060,1.275,0.005,47.1162168,-122.300881
WA,53053073121,2848713,0,1.1,0,47.1034997,-122.3054274
WA,53053073122,5032201,0,1.943,0,47.1057867,-122.2741688
WA,53053073123,9568236,97539,3.694,0.038,47.0903198,-122.2431361
WA,53053073124,3917608,0,1.513,0,47.0645059,-122.304125
WA,53053073125,6257552,0,2.416,0,47.0793129,-122.316583
WA,53053073126,1403617,0,0.542,0,47.0907184,-122.3014937
WA,53053073200,547708598,11835806,211.471,4.57,46.8396447,-122.1317883
WA,53053073301,14546777,269371,5.617,0.104,47.2269212,-122.2362719
WA,53053073302,2969882,104975,1.147,0.041,47.1972462,-122.2371882
WA,53053073404,6370808,32560,2.46,0.013,47.1826415,-122.3069138
WA,53053073405,2970132,1797,1.147,0.001,47.1762377,-122.2765184
WA,53053073406,4358683,65649,1.683,0.025,47.1839926,-122.2645159
WA,53053073407,2342645,71859,0.905,0.028,47.1983845,-122.2976951
WA,53053073408,2743923,19949,1.059,0.008,47.1994555,-122.3202118
WA,53053073500,16362925,21131,6.318,0.008,47.2320641,-122.273831
WA,53053940001,3037117,13359504,1.173,5.158,47.3053995,-122.4435979
WA,53053940002,13346881,189129,5.153,0.073,47.2490363,-122.3642571
WA,53053940003,4084975,127493,1.577,0.049,47.2287315,-122.3450761
WA,53053940004,17917556,110071,6.918,0.042,47.2050042,-122.3726612
WA,53053940005,4264569,0,1.647,0,47.2791967,-122.3721606
WA,53053940006,1825312,0,0.705,0,47.2153941,-122.4012241
WA,53053940007,2496064,19583,0.964,0.008,47.232117,-122.4011947
WA,53053940008,3054043,0,1.179,0,47.2939997,-122.39546
WA,53053940009,7928197,0,3.061,0,47.2296921,-122.3127834
WA,53053940010,8855101,277255,3.419,0.107,47.2059953,-122.3015523
WA,53053940011,3748598,0,1.447,0,47.301133,-122.4160048
WA,53045940000,21255690,570434,8.207,0.22,47.3333185,-123.1575681
WA,53045960100,923633971,18549959,356.617,7.162,47.4613839,-123.3128167
WA,53045960200,588537111,47023619,227.235,18.156,47.280939,-123.2804675
WA,53045960300,228293628,44756629,88.145,17.281,47.4443345,-122.9860811
WA,53045960400,119819650,22351159,46.263,8.63,47.393598,-122.8491775
WA,53045960500,124909910,19020345,48.228,7.344,47.3193056,-123.0688304
WA,53045960600,50205027,702399,19.384,0.271,47.2402194,-123.1521196
WA,53045960700,1936147,0,0.748,0,47.2244603,-123.1194547
WA,53045960800,13562638,1567042,5.237,0.605,47.2335745,-123.090368
WA,53045960900,5661754,0,2.186,0,47.2015548,-123.108283
WA,53045961000,58621381,10633093,22.634,4.105,47.1895037,-123.0152277
WA,53045961100,105840446,56356207,40.865,21.759,47.2306537,-122.9651489
WA,53045961200,65367587,8148514,25.239,3.146,47.2986031,-122.9635943
WA,53045961300,177162056,7702366,68.403,2.974,47.118232,-123.1667533
WA,53053073001,64400238,947152,24.865,0.366,46.9698738,-122.4998747
WA,53053073005,53829359,74036,20.784,0.029,46.9733128,-122.3874177
WA,53053073006,119198277,2553032,46.023,0.986,46.8987783,-122.4184454
WA,53053073108,9902122,0,3.823,0,47.0940827,-122.3370511
WA,53053073110,5662560,138804,2.186,0.054,47.1336468,-122.2531477
WA,53053073111,3722814,9776,1.437,0.004,47.1222681,-122.2774266
WA,53053073113,18494403,6944,7.141,0.003,47.0719425,-122.2649319
WA,53053073114,6903398,17931,2.665,0.007,47.038046,-122.3764485
WA,53053073115,6850710,3197,2.645,0.001,47.0394147,-122.3483495
WA,53053073116,16086230,51388,6.211,0.02,47.0222499,-122.3221289
WA,53053073117,49431889,230779,19.086,0.089,46.9682193,-122.3282624
WA,53053073118,30926845,222957,11.941,0.086,47.0450319,-122.2371097
WA,53053073119,95934999,3855896,37.041,1.489,46.9720036,-122.2137899
WA,53053073120,3303456,13060,1.275,0.005,47.1162168,-122.300881
WA,53053073121,2848713,0,1.1,0,47.1034997,-122.3054274
WA,53053073122,5032201,0,1.943,0,47.1057867,-122.2741688
