eid,aid,mainshock,mag,lon,lat,depth
229,167,DDMFZ_EQ1,4.75914026799,-121.774336971,48.4047611986,6.31837854892
230,168,DDMFZ_EQ1,4.5247282777,-122.216490876,48.449104859,6.83698005636
231,169,DDMFZ_EQ1,4.587105027,-123.461664642,48.4354800673,17.8027851253
232,170,DDMFZ_EQ1,5.09807756595,-121.907155585,48.3186887145,10.2841747028
233,171,DDMFZ_EQ1,5.78109523569,-122.86631637,48.5510910158,4.06998371653
234,172,DDMFZ_EQ1,5.5640364633,-123.034005724,48.546541027,8.38194911529
235,173,DDMFZ_EQ1,4.5509315332,-122.372739574,48.3632730708,13.5620638911
236,174,DDMFZ_EQ1,4.583091579,-123.421290497,48.5135818606,16.7882554554
237,175,DDMFZ_EQ1,5.06838664751,-123.062428582,48.3580475289,6.13421787349
238,176,DDMFZ_EQ1,5.10010326724,-122.40275679,48.3326968652,5.76866183067
239,177,DDMFZ_EQ1,4.66220072139,-122.652773187,48.4340803089,18.7534824572
240,178,DDMFZ_EQ1,4.61381694912,-122.961564999,48.354989737,16.0183738852
241,179,DDMFZ_EQ1,4.93061428636,-122.687160869,48.5375242786,13.4364736124
242,180,DDMFZ_EQ1,4.99096939698,-123.317790363,48.5581944812,16.3069886399
243,181,DDMFZ_EQ1,4.73830934512,-122.123229772,48.5078934479,10.8616697809
244,182,DDMFZ_EQ1,5.16833299396,-122.004275035,48.4354122084,16.1352919569
245,183,DDMFZ_EQ1,5.67107700801,-121.800205971,48.476277668,9.94884786039
246,184,DDMFZ_EQ1,4.96754846037,-121.464700233,48.3430273912,7.90551315988
247,185,DDMFZ_EQ1,5.26923024345,-121.484569105,48.35839777,15.6642147407
248,186,DDMFZ_EQ1,4.5831457633,-123.28970573,48.6294620623,10.7147566745
249,187,DDMFZ_EQ1,4.60917335425,-122.899708985,48.5014189777,19.7020336692
250,188,DDMFZ_EQ1,4.84533491533,-122.89150948,48.3286946493,9.59176291693
251,189,DDMFZ_EQ1,4.85445089895,-122.746361363,48.5113061796,18.7476387285
252,0,LCBC_EQ3,6.553481990871103,-123.479190697,48.1139435318,9.82982452149
253,1,LCBC_EQ3,4.56876985612,-123.607217117,48.0672078667,10.3942157199
254,2,LCBC_EQ3,5.00488848921,-123.33325874,48.1087278172,7.02262170294
255,3,LCBC_EQ3,4.65951975843,-123.593943219,48.0174648034,16.1437830471
256,4,LCBC_EQ3,4.93783972683,-123.276227178,48.1983504864,5.45438242359
257,5,LCBC_EQ3,5.18149245231,-123.275123988,48.0581557682,12.2362779852
258,6,LCBC_EQ3,4.63026883883,-123.300473413,48.0584664176,5.02201254179
259,7,LCBC_EQ3,5.40663283354,-123.700877839,48.0854508965,9.70268568252
260,8,LCBC_EQ3,4.61218575386,-123.510321311,48.1064540519,13.6172287841
